rule_name,osm_id,osm_reference_element,source,time_stamp,metadata
node_amenity_tag_check,280430691,node,osm,2023-02-08T13:27:43.460690,
node_amenity_tag_check,280430828,node,osm,2023-02-08T13:27:43.462110,
food_cuisine_check,283163978,node,osm,2023-02-08T13:27:43.490801,
food_cuisine_check,283166314,node,osm,2023-02-08T13:27:43.498035,
food_cuisine_check,342117176,node,osm,2023-02-08T13:27:43.598310,
food_cuisine_check,511975995,node,osm,2023-02-08T13:27:43.701196,
food_cuisine_check,511975996,node,osm,2023-02-08T13:27:43.701765,
node_amenity_tag_check,513129409,node,osm,2023-02-08T13:27:43.706778,
food_cuisine_check,518295335,node,osm,2023-02-08T13:27:43.965077,
food_cuisine_check,622955570,node,osm,2023-02-08T13:27:44.228039,
food_cuisine_check,667277959,node,osm,2023-02-08T13:27:44.300971,
food_cuisine_check,671445777,node,osm,2023-02-08T13:27:44.380208,
food_cuisine_check,671446340,node,osm,2023-02-08T13:27:44.380961,
food_cuisine_check,671452972,node,osm,2023-02-08T13:27:44.381723,
food_cuisine_check,671465291,node,osm,2023-02-08T13:27:44.383838,
food_cuisine_check,671465865,node,osm,2023-02-08T13:27:44.384309,
food_cuisine_check,672119121,node,osm,2023-02-08T13:27:44.384770,
food_cuisine_check,672215465,node,osm,2023-02-08T13:27:44.465197,
food_cuisine_check,672226924,node,osm,2023-02-08T13:27:44.472230,
food_cuisine_check,672232340,node,osm,2023-02-08T13:27:44.475380,
food_cuisine_check,672232522,node,osm,2023-02-08T13:27:44.476112,
food_cuisine_check,674921316,node,osm,2023-02-08T13:27:44.741575,
node_amenity_tag_check,674930856,node,osm,2023-02-08T13:27:44.771220,
food_cuisine_check,679044949,node,osm,2023-02-08T13:27:44.984710,
food_cuisine_check,679044987,node,osm,2023-02-08T13:27:44.985280,
food_cuisine_check,761931088,node,osm,2023-02-08T13:27:45.581185,
node_amenity_tag_check,763365757,node,osm,2023-02-08T13:27:45.623283,
node_amenity_tag_check,763454605,node,osm,2023-02-08T13:27:45.697212,
